,0
1354,COG0131
1355,COG0517
1356,COG0139
1357,COG0079
1358,COG0642
1359,COG0119
1360,COG0188
1361,COG0642
1362,COG1396
1363,COG0118
1364,COG0140
1365,COG0483
1366,COG0801
1367,COG0028
1368,COG1211
1369,COG0516
1370,COG0517
1371,COG1171
1372,COG0447
1373,COG0582
1374,COG0699
1375,COG1132
1376,COG2375
1377,COG0623
1378,COG0028
1379,COG0129
1380,COG0440
1381,COG0501
1382,COG1420
1383,COG0640
1384,COG1544
1385,COG0346
1386,COG0059
1387,COG0028
1388,COG0290
1389,COG0028
1390,COG1443
1391,COG0532
1392,COG0634
1393,COG0106
1394,COG1853
1395,COG0538
1396,COG1321
1397,COG1819
1398,COG0569
1399,COG0589
1400,COG3537
1401,COG0287
1402,COG0110
1403,COG1520
1404,COG1666
1405,COG0003
1406,COG2230
1407,COG0398
1408,COG2452
1409,COG0243
1410,COG1061
1411,COG3315
1412,COG0656
1413,COG3173
1414,COG2230
1415,COG1765
1416,COG0784
1417,COG1484
1418,COG4962
1419,COG0265
1420,COG1533
1421,COG0217
1422,COG2153
1423,COG0586
1424,COG0035
1425,COG0661
1426,COG0589
1427,COG0213
1428,COG0739
1429,COG0606
1430,COG1837
1431,COG1214
1432,COG0220
1433,COG2308
1434,COG0747
1435,COG0747
1436,COG1173
1437,COG1660
1438,COG2304
1439,COG0330
1440,COG2346
1441,COG0149
1442,COG0574
1443,COG1615
1444,COG0560
1445,COG1573
1446,COG0533
1447,COG0586
1448,COG0596
1449,COG0384
1450,COG0207
1451,COG0792
1452,COG1228
1453,COG2519
1454,COG1253
1455,COG0695
1456,COG4584
1457,COG2375
1458,COG1239
1459,COG1240
1460,COG2071
1461,COG0675
1462,COG1846
1463,COG3653
1464,COG0701
1465,COG0130
1466,COG0492
1467,COG2321
1468,COG1409
1469,COG3896
1470,COG0804
1471,COG2072
1472,COG0556
1473,COG0831
1474,COG2141
1475,COG1968
1476,COG4867
1477,COG0210
1478,COG1487
1479,COG4118
1480,COG0692
1481,COG0178
1482,COG4113
1483,COG4113
1484,COG5450
1485,COG0500
1486,COG0832
1487,COG0378
1488,COG5302
1489,COG4398
1490,COG0830
1491,COG0322
1492,COG0210
1493,COG1253
1494,COG0512
1495,COG1703
1496,COG2077
1497,COG1028
1498,COG0336
1499,COG3328
1500,COG3280
1501,COG2114
1502,COG0601
1503,COG2346
1504,COG2050
1505,COG0147
1506,COG1123
1507,COG3616
1508,COG3315
1509,COG0296
1510,COG0654
1511,COG1132
1512,COG0398
1513,COG2801
1514,COG3387
1515,COG0516
1516,COG0517
1517,COG0133
1518,COG1881
1519,COG1309
1520,COG1132
1521,COG0564
1522,COG4118
1523,COG4118
1524,COG1487
1525,COG1848
1526,COG1848
1527,COG3742
1528,COG2402
1529,COG1487
1530,COG2402
1531,COG0472
1532,COG1481
1533,COG1802
1534,COG1272
1535,COG4122
1536,COG1959
1537,COG1234
1538,COG5285
1539,COG0463
1540,COG3714
1541,COG3315
1542,COG5450
1543,COG1028
1544,COG5512
1545,COG1396
1546,COG1615
1547,COG5660
1548,COG0582
1549,COG4974
1550,COG3599
1551,COG0500
1552,COG2442
1553,COG4113
1554,COG4423
1555,COG3742
1556,COG1848
1557,COG5450
1558,COG1028
1559,COG3305
1560,COG0183
1561,COG0628
1562,COG0705
1563,COG2141
1564,COG2199
1565,COG2200
1566,COG2203
1567,COG1680
1568,COG3616
1569,COG4279
1570,COG3662
1571,COG0399
1572,COG1011
1573,COG2843
1574,COG0651
1575,COG1926
1576,COG0523
1577,COG0664
1578,COG0627
1579,COG1388
1580,COG3118
1581,COG3191
1582,COG0508
1583,COG1063
1584,COG5654
1585,COG0583
1586,COG3884
1587,COG0589
1588,COG1929
1589,COG1073
1590,COG1122
1591,COG0667
1592,COG0577
1593,COG0664
1594,COG1136
1595,COG0432
1596,COG2256
1597,COG3801
1598,COG1192
1599,COG1275
1600,COG1259
1601,COG3856
1602,COG2110
1603,COG0589
1604,COG1028
1605,COG2149
1606,COG1090
1607,COG0612
1608,COG5285
1609,COG3631
1610,COG3573
1611,COG1359
1612,COG0318
1613,COG2114
1614,COG0476
1615,COG0789
1616,COG0789
1617,COG0531
1618,COG1846
1619,COG5562
1620,COG0053
1621,COG0628
1622,COG0322
1623,COG0847
1624,COG0316
1625,COG3826
1626,COG0277
1627,COG0640
1628,COG2175
1629,COG2114
1630,COG4325
1631,COG0144
1632,COG0719
1633,COG1372
1634,COG3879
1635,COG0011
1636,COG0693
1637,COG1279
1638,COG1678
1639,COG1944
1640,COG3879
1641,COG0637
1642,COG1554
1643,COG1877
1644,COG1373
1645,COG1926
1646,COG0546
1647,COG0619
1648,COG2186
1649,COG0719
1650,COG1187
1651,COG1741
1652,COG2814
1653,COG2513
1654,COG0589
1655,COG0500
1656,COG0645
1657,COG2187
1658,COG1579
1659,COG2128
1660,COG0079
1661,COG2508
1662,COG2442
1663,COG0635
1664,COG1253
1665,COG0664
1666,COG1752
1667,COG2307
1668,COG2308
1669,COG1742
1670,COG0542
1671,COG0454
1672,COG1733
1673,COG4529
1674,COG0516
1675,COG1554
1676,COG1788
1677,COG2057
1678,COG3315
1679,COG0659
1680,COG0531
1681,COG0589
1682,COG0584
1683,COG2161
1684,COG0861
1685,COG2166
1686,COG5383
1687,COG0500
1688,COG0566
1689,COG2303
1690,COG0577
1691,COG1881
1692,COG0775
1693,COG0306
1694,COG5416
1695,COG2220
1696,COG1670
1697,COG0477
1698,COG5450
1699,COG1487
1700,COG4423
1701,COG1848
1702,COG2002
