CPLX0-2021,COG0776,COG0776,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-3801,COG2812,COG0470,COG1466,,,,,,,,,,,,,,,,,,,,,,,,
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX,COG0209,COG0208,,,,,,,,,,,,,,,,,,,,,,,,,
SUCC-DEHASE,COG1053,COG0479,COG2009,COG2142,,,,,,,,,,,,,,,,,,,,,,,
GCVMULTI-CPLX,COG1249,COG1003,COG0509,COG0404,,,,,,,,,,,,,,,,,,,,,,,
PYRUVATEDEH-CPLX,COG2609,COG0508,COG1249,,,,,,,,,,,,,,,,,,,,,,,,
ACETYL-COA-CARBOXYLTRANSFER-CPLX,COG0825,COG0777,,,,,,,,,,,,,,,,,,,,,,,,,
ACETYL-COA-CARBOXYLMULTI-CPLX,COG0777,COG0825,COG0439,COG0511,,,,,,,,,,,,,,,,,,,,,,,
CYSSYNMULTI-CPLX,COG1045,COG0031,,,,,,,,,,,,,,,,,,,,,,,,,
ABC-70-CPLX,COG1613,COG4208,COG0555,COG1118,,,,,,,,,,,,,,,,,,,,,,,
ABC-7-CPLX,COG1118,COG4208,COG0555,COG4150,,,,,,,,,,,,,,,,,,,,,,,
CYT-D-UBIOX-CPLX,COG1271,COG1294,,,,,,,,,,,,,,,,,,,,,,,,,
FORMHYDROGI-CPLX,COG1740,COG0374,COG1969,,,,,,,,,,,,,,,,,,,,,,,,
PC00084,COG2197,COG2771,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1163,COG1220,COG5405,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2201,COG3064,COG0811,COG0848,COG0823,COG1729,COG2885,,,,,,,,,,,,,,,,,,,,,
CPLX0-1242,COG2337,COG2336,,,,,,,,,,,,,,,,,,,,,,,,,
NITRATREDUCTZ-CPLX,COG1140,COG5013,COG2181,,,,,,,,,,,,,,,,,,,,,,,,
FHLMULTI-CPLX,COG0243,COG3262,COG1142,COG3260,COG1143,COG0651,COG0650,,,,,,,,,,,,,,,,,,,,
ABC-19-CPLX,COG4148,COG4149,COG0725,,,,,,,,,,,,,,,,,,,,,,,,
NITRATREDUCTA-CPLX,COG5013,COG1140,COG2181,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2502,COG1977,COG0314,,,,,,,,,,,,,,,,,,,,,,,,,
TAR-CPLX,COG0643,COG0835,COG0840,,,,,,,,,,,,,,,,,,,,,,,,
TSR-CPLX,COG0835,COG0643,COG0840,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-155,COG1447,COG1455,COG1440,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-1944,COG4592,COG4779,COG0609,COG1120,COG4771,COG0810,COG0811,COG0848,,,,,,,,,,,,,,,,,,,
APP-UBIOX-CPLX,COG1271,COG1294,,,,,,,,,,,,,,,,,,,,,,,,,
CARBPSYN-CPLX,COG0458,COG0505,,,,,,,,,,,,,,,,,,,,,,,,,
ACETOLACTSYNIII-CPLX,COG0028,COG0440,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX-63,COG0243,COG3005,,,,,,,,,,,,,,,,,,,,,,,,,
CPLX0-2221,COG4206,COG3203,COG2885,COG1729,COG0823,COG0848,COG0811,COG3064,,,,,,,,,,,,,,,,,,,
CPLX0-1924,COG4206,COG0848,COG0811,COG0810,,,,,,,,,,,,,,,,,,,,,,,
ABC-2-CPLX,COG1129,COG1172,COG1879,,,,,,,,,,,,,,,,,,,,,,,,
SEC-SECRETION-CPLX,COG1952,COG0653,COG0201,COG1314,COG0690,COG0342,COG0341,COG1862,COG0706,,,,,,,,,,,,,,,,,,
ANTHRANSYN-CPLX,COG0147,COG0547,,,,,,,,,,,,,,,,,,,,,,,,,
MUTHLS-CPLX,COG0323,COG0249,COG3066,,,,,,,,,,,,,,,,,,,,,,,,
ABC-21-CPLX,COG1131,COG0842,,,,,,,,,,,,,,,,,,,,,,,,,
